Country,Date,Song_Title,Artist,Streams,Rank
Global,2020-01-01,Dance Monkey,Tones And I,"6,155,025",1
Global,2020-01-01,ROXANNE,Arizona Zervas,"4,133,489",2
Global,2020-01-01,Tusa,"KAROL G, Nicki Minaj","4,017,964",3
Global,2020-01-01,Circles,Post Malone,"3,283,180",4
Global,2020-01-01,Memories,Maroon 5,"3,127,585",5
Global,2020-01-01,Falling,Trevor Daniel,"2,993,746",6
Global,2020-01-01,Don't Start Now,Dua Lipa,"2,992,597",7
Global,2020-01-01,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin","2,980,775",8
Global,2020-01-01,Señorita,"Shawn Mendes, Camila Cabello","2,873,805",9
Global,2020-01-01,Blinding Lights,The Weeknd,"2,830,968",10
Global,2020-01-02,Dance Monkey,Tones And I,"6,676,697",1
Global,2020-01-02,ROXANNE,Arizona Zervas,"4,541,352",2
Global,2020-01-02,Tusa,"KAROL G, Nicki Minaj","3,838,673",3
Global,2020-01-02,Memories,Maroon 5,"3,741,310",4
Global,2020-01-02,Circles,Post Malone,"3,690,767",5
Global,2020-01-02,Falling,Trevor Daniel,"3,641,494",6
Global,2020-01-02,Don't Start Now,Dua Lipa,"3,597,058",7
Global,2020-01-02,Blinding Lights,The Weeknd,"3,580,384",8
Global,2020-01-02,everything i wanted,Billie Eilish,"3,146,777",9
Global,2020-01-02,The Box,Roddy Ricch,"3,141,427",10
Global,2020-01-03,Dance Monkey,Tones And I,"7,180,575",1
Global,2020-01-03,Yummy,Justin Bieber,"5,221,491",2
Global,2020-01-03,ROXANNE,Arizona Zervas,"4,823,003",3
Global,2020-01-03,Tusa,"KAROL G, Nicki Minaj","4,137,767",4
Global,2020-01-03,Blinding Lights,The Weeknd,"3,956,263",5
Global,2020-01-03,Falling,Trevor Daniel,"3,931,321",6
Global,2020-01-03,Memories,Maroon 5,"3,902,974",7
Global,2020-01-03,Don't Start Now,Dua Lipa,"3,872,238",8
Global,2020-01-03,Circles,Post Malone,"3,833,622",9
Global,2020-01-03,The Box,Roddy Ricch,"3,679,269",10
Global,2020-01-04,Dance Monkey,Tones And I,"7,102,715",1
Global,2020-01-04,ROXANNE,Arizona Zervas,"4,695,955",2
Global,2020-01-04,Yummy,Justin Bieber,"4,637,492",3
Global,2020-01-04,Tusa,"KAROL G, Nicki Minaj","4,194,438",4
Global,2020-01-04,The Box,Roddy Ricch,"3,935,880",5
Global,2020-01-04,Blinding Lights,The Weeknd,"3,850,698",6
Global,2020-01-04,Memories,Maroon 5,"3,786,736",7
Global,2020-01-04,Falling,Trevor Daniel,"3,782,914",8
Global,2020-01-04,Don't Start Now,Dua Lipa,"3,746,590",9
Global,2020-01-04,Circles,Post Malone,"3,646,992",10
Global,2020-01-05,Dance Monkey,Tones And I,"6,464,401",1
