name,artist,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,artists+name
"The Circle Game - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.8809999999999999,0.644,313.093,0.212,0,2.22e-05,11,0.7979999999999999,-14.118,1,19,0.0347,117.072,0.441,"'Joni Mitchell'The Circle Game - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Urge For Going - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.955,0.627,295.093,0.184,0,0.000162,1,0.0986,-15.533,1,19,0.045,115.864,0.299,"'Joni Mitchell'Urge For Going - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"What's The Story Mr. Blue - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.888,0.581,183.44,0.331,0,1.5e-05,6,0.147,-14.087,1,19,0.243,88.303,0.642,"'Joni Mitchell'What's The Story Mr. Blue - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Brandy Eyes - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.93,0.442,147.907,0.399,0,0.000499,6,0.912,-12.661,1,19,0.078,121.662,0.5539999999999999,"'Joni Mitchell'Brandy Eyes - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Intro To Urge For Going - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.949,0.57,64.173,0.17600000000000002,0,0.0,6,0.147,-22.676,0,19,0.299,135.687,0.348,"'Joni Mitchell'Intro To Urge For Going - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Intro To The Circle Game - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.911,0.565,232.64,0.153,0,0.0,10,0.358,-21.606,0,18,0.378,103.309,0.434,"'Joni Mitchell'Intro To The Circle Game - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Eastern Rain - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.932,0.598,233.52,0.212,0,2.32e-05,6,0.6920000000000001,-15.078,0,18,0.0406,107.183,0.172,"'Joni Mitchell'Eastern Rain - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Night In The City - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.879,0.3670000000000001,213.84,0.307,0,0.0,11,0.73,-12.42,0,18,0.0568,172.86700000000005,0.284,"'Joni Mitchell'Night In The City - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Intro To Night In The City - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.926,0.638,92.56,0.19,0,0.0,2,0.273,-22.268,1,18,0.485,61.212,0.417,"'Joni Mitchell'Intro To Night In The City - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Intro To What's The Story Mr. Blue - Live at The 2nd Fret, Philadelphia, PA, 11/1966",'Joni Mitchell',2020,0.914,0.7,61.4,0.16399999999999998,0,0.0,10,0.237,-19.645,0,18,0.403,99.184,0.31,"'Joni Mitchell'Intro To What's The Story Mr. Blue - Live at The 2nd Fret, Philadelphia, PA, 11/1966"
"Tristan und Isolde, WWV 90 / Act 3: Mild und leise wie er lächelt - Live at Bayreuther Festspiele / 1966",'Richard Wagner',2020,0.962,0.108,375.28,0.254,0,0.0149,11,0.139,-14.49,1,9,0.0407,74.514,0.0362,"'Richard Wagner'Tristan und Isolde, WWV 90 / Act 3: Mild und leise wie er lächelt - Live at Bayreuther Festspiele / 1966"
"To You, In 2000 Years",'RichaadEB',2020,1.04e-06,0.277,243.873,0.957,0,0.643,8,0.293,-5.6560000000000015,1,21,0.107,94.96,0.109,"'RichaadEB'To You, In 2000 Years"
2000 Light Years From Home / She’s A Rainbow / Keyboard Duet - Live,'The Rolling Stones',2020,0.0303,0.158,444.16,0.855,0,0.0219,2,0.708,-7.001,1,28,0.078,99.535,0.0612,'The Rolling Stones'2000 Light Years From Home / She’s A Rainbow / Keyboard Duet - Live
Year 3000,'Busted',2020,0.0006,0.57,196.387,0.77,0,0.0,11,0.0831,-8.431000000000001,1,19,0.0471,107.013,0.8320000000000001,'Busted'Year 3000
Year 2000 Flow,'Zola Bryon',2020,0.424,0.633,170.305,0.6940000000000001,0,0.0,8,0.177,-9.187,0,8,0.4970000000000001,86.101,0.76,'Zola Bryon'Year 2000 Flow
Year 2020,'Ema Spatula',2020,0.165,0.6990000000000001,83.853,0.5579999999999999,0,0.883,9,0.0932,-14.713,1,30,0.0541,99.996,0.398,'Ema Spatula'Year 2020
Longest Year - 2020,'Hammock',2020,0.7,0.0692,533.707,0.285,0,0.6729999999999999,2,0.199,-14.854,1,36,0.0482,78.572,0.0312,'Hammock'Longest Year - 2020
"Year,2015",'Schoolgirl Byebye',2020,0.969,0.314,74.302,0.0855,0,0.795,9,0.16,-15.775,1,18,0.0342,69.893,0.161,"'Schoolgirl Byebye'Year,2015"
Poker Face,'Lady Gaga',2020,0.112,0.851,238.907,0.818,0,2.94e-06,4,0.0945,-4.637,1,36,0.0789,119.006,0.8079999999999999,'Lady Gaga'Poker Face
2021,'Yunginky',2020,0.448,0.669,91.193,0.243,0,0.0,8,0.061,-15.027,1,14,0.152,158.015,0.523,'Yunginky'2021
Year 2008 - MSZ Remix,'Suffused',2020,0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,22,0.034,127.009,0.45,'Suffused'Year 2008 - MSZ Remix
Dreams - 2004 Remaster,'Fleetwood Mac',2020,0.0644,0.828,257.8,0.4920000000000001,0,0.00428,0,0.128,-9.745,1,12,0.0276,120.148,0.789,'Fleetwood Mac'Dreams - 2004 Remaster
Lovers and Friends,'Platinum Deluxe',2020,0.147,0.6920000000000001,263.0,0.428,0,0.0,7,0.125,-8.955,0,13,0.263,139.668,0.339,'Platinum Deluxe'Lovers and Friends
Year 2008 - MSZ Remix,'Suffused',2020,0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,22,0.034,127.009,0.45,'Suffused'Year 2008 - MSZ Remix
"Year,2015",'Schoolgirl Byebye',2020,0.969,0.314,74.302,0.0855,0,0.795,9,0.16,-15.775,1,18,0.0342,69.893,0.161,"'Schoolgirl Byebye'Year,2015"
