Country,Date,Song_Title,Artist,Streams,Rank
Global,2020-02-01,Dance Monkey,Tones And I,"7,239,622",1
Global,2020-02-01,The Box,Roddy Ricch,"6,827,585",2
Global,2020-02-01,Blinding Lights,The Weeknd,"5,582,605",3
Global,2020-02-01,Tusa,"KAROL G, Nicki Minaj","5,491,796",4
Global,2020-02-01,Don't Start Now,Dua Lipa,"4,609,371",5
Global,2020-02-01,Yummy,Justin Bieber,"4,563,501",6
Global,2020-02-01,ROXANNE,Arizona Zervas,"4,353,860",7
Global,2020-02-01,Godzilla (feat. Juice WRLD),Eminem,"4,335,663",8
Global,2020-02-01,Life Is Good (feat. Drake),Future,"4,182,869",9
Global,2020-02-01,Falling,Trevor Daniel,"4,155,233",10
Global,2020-02-02,Dance Monkey,Tones And I,"6,257,806",1
Global,2020-02-02,The Box,Roddy Ricch,"6,131,346",2
Global,2020-02-02,Blinding Lights,The Weeknd,"4,910,021",3
Global,2020-02-02,Tusa,"KAROL G, Nicki Minaj","4,817,829",4
Global,2020-02-02,Yummy,Justin Bieber,"4,021,035",5
Global,2020-02-02,Don't Start Now,Dua Lipa,"3,997,595",6
Global,2020-02-02,ROXANNE,Arizona Zervas,"3,905,039",7
Global,2020-02-02,Falling,Trevor Daniel,"3,794,766",8
Global,2020-02-02,Godzilla (feat. Juice WRLD),Eminem,"3,752,951",9
Global,2020-02-02,Life Is Good (feat. Drake),Future,"3,682,442",10
Global,2020-02-03,Dance Monkey,Tones And I,"6,225,873",1
Global,2020-02-03,The Box,Roddy Ricch,"6,145,481",2
Global,2020-02-03,Blinding Lights,The Weeknd,"5,377,625",3
Global,2020-02-03,Tusa,"KAROL G, Nicki Minaj","4,533,891",4
Global,2020-02-03,Don't Start Now,Dua Lipa,"4,273,290",5
Global,2020-02-03,Yummy,Justin Bieber,"4,102,617",6
Global,2020-02-03,Godzilla (feat. Juice WRLD),Eminem,"4,024,371",7
Global,2020-02-03,Falling,Trevor Daniel,"3,958,922",8
Global,2020-02-03,Life Is Good (feat. Drake),Future,"3,890,731",9
Global,2020-02-03,ROXANNE,Arizona Zervas,"3,816,442",10
Global,2020-02-04,Dance Monkey,Tones And I,"6,368,473",1
Global,2020-02-04,The Box,Roddy Ricch,"6,345,065",2
Global,2020-02-04,Blinding Lights,The Weeknd,"5,550,778",3
Global,2020-02-04,Tusa,"KAROL G, Nicki Minaj","4,545,229",4
Global,2020-02-04,Don't Start Now,Dua Lipa,"4,466,986",5
Global,2020-02-04,Yummy,Justin Bieber,"4,201,204",6
Global,2020-02-04,Godzilla (feat. Juice WRLD),Eminem,"4,075,253",7
Global,2020-02-04,Falling,Trevor Daniel,"4,070,813",8
Global,2020-02-04,Life Is Good (feat. Drake),Future,"4,026,141",9
Global,2020-02-04,ROXANNE,Arizona Zervas,"3,895,731",10
