Country,Date,Song_Title,Artist,Streams,Rank
Global,2020-03-01,Blinding Lights,The Weeknd,"5,465,968",1
Global,2020-03-01,The Box,Roddy Ricch,"5,203,730",2
Global,2020-03-01,Dance Monkey,Tones And I,"5,100,257",3
Global,2020-03-01,Don't Start Now,Dua Lipa,"4,339,547",4
Global,2020-03-01,Ignorantes,"Bad Bunny, Sech","4,101,396",5
Global,2020-03-01,La Difícil,Bad Bunny,"4,007,264",6
Global,2020-03-01,Intentions (feat. Quavo),Justin Bieber,"3,749,540",7
Global,2020-03-01,Tusa,"KAROL G, Nicki Minaj","3,748,345",8
Global,2020-03-01,Si Veo a Tu Mamá,Bad Bunny,"3,698,610",9
Global,2020-03-01,Falling,Trevor Daniel,"3,418,555",10
Global,2020-03-02,Blinding Lights,The Weeknd,"5,870,441",1
Global,2020-03-02,The Box,Roddy Ricch,"5,240,107",2
Global,2020-03-02,Dance Monkey,Tones And I,"5,057,670",3
Global,2020-03-02,La Difícil,Bad Bunny,"4,627,322",4
Global,2020-03-02,Don't Start Now,Dua Lipa,"4,558,374",5
Global,2020-03-02,Ignorantes,"Bad Bunny, Sech","4,313,482",6
Global,2020-03-02,Si Veo a Tu Mamá,Bad Bunny,"4,126,547",7
Global,2020-03-02,Intentions (feat. Quavo),Justin Bieber,"4,074,240",8
Global,2020-03-02,Say So,Doja Cat,"3,570,297",9
Global,2020-03-02,Tusa,"KAROL G, Nicki Minaj","3,560,659",10
Global,2020-03-03,Blinding Lights,The Weeknd,"5,992,553",1
Global,2020-03-03,The Box,Roddy Ricch,"5,378,901",2
Global,2020-03-03,Dance Monkey,Tones And I,"5,192,353",3
Global,2020-03-03,Don't Start Now,Dua Lipa,"4,707,494",4
Global,2020-03-03,La Difícil,Bad Bunny,"4,600,028",5
Global,2020-03-03,Ignorantes,"Bad Bunny, Sech","4,180,633",6
Global,2020-03-03,Si Veo a Tu Mamá,Bad Bunny,"4,170,603",7
Global,2020-03-03,Intentions (feat. Quavo),Justin Bieber,"4,124,201",8
Global,2020-03-03,Tusa,"KAROL G, Nicki Minaj","3,632,790",9
Global,2020-03-03,Say So,Doja Cat,"3,620,782",10
Global,2020-03-04,Blinding Lights,The Weeknd,"5,960,151",1
Global,2020-03-04,The Box,Roddy Ricch,"5,408,648",2
Global,2020-03-04,Dance Monkey,Tones And I,"5,188,763",3
Global,2020-03-04,Don't Start Now,Dua Lipa,"4,685,644",4
Global,2020-03-04,La Difícil,Bad Bunny,"4,460,633",5
Global,2020-03-04,Si Veo a Tu Mamá,Bad Bunny,"4,135,190",6
Global,2020-03-04,Intentions (feat. Quavo),Justin Bieber,"4,078,714",7
Global,2020-03-04,Ignorantes,"Bad Bunny, Sech","4,033,706",8
Global,2020-03-04,Tusa,"KAROL G, Nicki Minaj","3,639,270",9
Global,2020-03-04,Say So,Doja Cat,"3,624,838",10
Global,2020-03-05,Blinding Lights,The Weeknd,"5,993,791",1
Global,2020-03-05,The Box,Roddy Ricch,"5,455,083",2
Global,2020-03-05,Dance Monkey,Tones And I,"5,227,548",3
Global,2020-03-05,Don't Start Now,Dua Lipa,"4,641,866",4
Global,2020-03-05,La Difícil,Bad Bunny,"4,427,627",5
Global,2020-03-05,Intentions (feat. Quavo),Justin Bieber,"4,087,955",6
Global,2020-03-05,Si Veo a Tu Mamá,Bad Bunny,"4,086,086",7
Global,2020-03-05,Ignorantes,"Bad Bunny, Sech","3,964,875",8
Global,2020-03-05,Say So,Doja Cat,"3,690,735",9
Global,2020-03-05,Tusa,"KAROL G, Nicki Minaj","3,667,008",10
Global,2020-03-06,Blinding Lights,The Weeknd,"6,329,218",1
Global,2020-03-06,The Box,Roddy Ricch,"5,718,614",2
Global,2020-03-06,Dance Monkey,Tones And I,"5,566,567",3
Global,2020-03-06,La Difícil,Bad Bunny,"4,941,288",4
Global,2020-03-06,Don't Start Now,Dua Lipa,"4,915,903",5
Global,2020-03-06,Baby Pluto,Lil Uzi Vert,"4,691,613",6
Global,2020-03-06,Si Veo a Tu Mamá,Bad Bunny,"4,218,770",7
Global,2020-03-06,Intentions (feat. Quavo),Justin Bieber,"4,202,807",8
Global,2020-03-06,Ignorantes,"Bad Bunny, Sech","4,061,783",9
Global,2020-03-06,Tusa,"KAROL G, Nicki Minaj","4,013,558",10
Global,2020-03-07,Blinding Lights,The Weeknd,"6,102,090",1
Global,2020-03-07,The Box,Roddy Ricch,"5,736,375",2
Global,2020-03-07,Dance Monkey,Tones And I,"5,670,975",3
Global,2020-03-07,Don't Start Now,Dua Lipa,"4,854,544",4
Global,2020-03-07,La Difícil,Bad Bunny,"4,633,871",5
Global,2020-03-07,Tusa,"KAROL G, Nicki Minaj","4,179,403",6
Global,2020-03-07,Si Veo a Tu Mamá,Bad Bunny,"3,988,701",7
Global,2020-03-07,Intentions (feat. Quavo),Justin Bieber,"3,973,365",8
Global,2020-03-07,Ignorantes,"Bad Bunny, Sech","3,819,444",9
Global,2020-03-07,Baby Pluto,Lil Uzi Vert,"3,809,865",10
Global,2020-03-08,Blinding Lights,The Weeknd,"5,189,655",1
Global,2020-03-08,The Box,Roddy Ricch,"5,006,992",2
Global,2020-03-08,Dance Monkey,Tones And I,"4,873,167",3
Global,2020-03-08,Don't Start Now,Dua Lipa,"4,238,467",4
Global,2020-03-08,La Difícil,Bad Bunny,"3,827,360",5
Global,2020-03-08,Tusa,"KAROL G, Nicki Minaj","3,559,426",6
Global,2020-03-08,Intentions (feat. Quavo),Justin Bieber,"3,466,982",7
Global,2020-03-08,Say So,Doja Cat,"3,381,590",8
Global,2020-03-08,Si Veo a Tu Mamá,Bad Bunny,"3,377,341",9
Global,2020-03-08,Falling,Trevor Daniel,"3,250,817",10
Global,2020-03-09,Blinding Lights,The Weeknd,"5,630,231",1
Global,2020-03-09,The Box,Roddy Ricch,"5,039,045",2
Global,2020-03-09,Dance Monkey,Tones And I,"4,853,178",3
Global,2020-03-09,Don't Start Now,Dua Lipa,"4,424,196",4
Global,2020-03-09,La Difícil,Bad Bunny,"3,998,477",5
Global,2020-03-09,Intentions (feat. Quavo),Justin Bieber,"3,822,032",6
Global,2020-03-09,Say So,Doja Cat,"3,554,096",7
Global,2020-03-09,Si Veo a Tu Mamá,Bad Bunny,"3,481,470",8
Global,2020-03-09,Tusa,"KAROL G, Nicki Minaj","3,397,090",9
Global,2020-03-09,Falling,Trevor Daniel,"3,338,474",10
Global,2020-03-10,Blinding Lights,The Weeknd,"5,660,315",1
Global,2020-03-10,The Box,Roddy Ricch,"5,074,994",2
Global,2020-03-10,Dance Monkey,Tones And I,"4,890,667",3
Global,2020-03-10,Don't Start Now,Dua Lipa,"4,499,938",4
Global,2020-03-10,La Difícil,Bad Bunny,"4,063,483",5
Global,2020-03-10,Intentions (feat. Quavo),Justin Bieber,"3,817,078",6
Global,2020-03-10,Say So,Doja Cat,"3,593,712",7
Global,2020-03-10,Si Veo a Tu Mamá,Bad Bunny,"3,505,846",8
Global,2020-03-10,Tusa,"KAROL G, Nicki Minaj","3,394,751",9
Global,2020-03-10,Ignorantes,"Bad Bunny, Sech","3,381,963",10
Global,2020-03-11,Blinding Lights,The Weeknd,"5,688,115",1
Global,2020-03-11,The Box,Roddy Ricch,"5,143,233",2
Global,2020-03-11,Dance Monkey,Tones And I,"4,909,599",3
Global,2020-03-11,Don't Start Now,Dua Lipa,"4,500,630",4
Global,2020-03-11,La Difícil,Bad Bunny,"3,961,700",5
Global,2020-03-11,Intentions (feat. Quavo),Justin Bieber,"3,805,425",6
Global,2020-03-11,Say So,Doja Cat,"3,639,789",7
Global,2020-03-11,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow","3,426,807",8
Global,2020-03-11,Tusa,"KAROL G, Nicki Minaj","3,394,819",9
Global,2020-03-11,Si Veo a Tu Mamá,Bad Bunny,"3,379,209",10
