Song_Name,1/01/2020,2/01/2020,3/01/2020,4/01/2020,5/01/2020,6/01/2020,7/01/2020,8/01/2020,9/01/2020,10/01/2020,11/01/2020,12/01/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,1/02/2020,2/02/2020,3/02/2020,4/02/2020,5/02/2020,6/02/2020,7/02/2020,8/02/2020,9/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,1/03/2020,2/03/2020,3/03/2020,4/03/2020,5/03/2020,6/03/2020,7/03/2020,8/03/2020,9/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,1/04/2020,2/04/2020,3/04/2020,4/04/2020,5/04/2020,6/04/2020,7/04/2020,8/04/2020,9/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,1/05/2020,2/05/2020,3/05/2020,4/05/2020,5/05/2020,6/05/2020,7/05/2020,8/05/2020,9/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,1/06/2020,2/06/2020,3/06/2020,4/06/2020,5/06/2020,6/06/2020,7/06/2020,8/06/2020,9/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,1/07/2020,2/07/2020,3/07/2020,4/07/2020,5/07/2020,6/07/2020,7/07/2020,8/07/2020,9/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,1/08/2020,2/08/2020,3/08/2020,4/08/2020,5/08/2020,6/08/2020,7/08/2020,8/08/2020,9/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,1/09/2020,2/09/2020,3/09/2020,4/09/2020,5/09/2020,6/09/2020,7/09/2020,8/09/2020,9/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,1/10/2020,2/10/2020,3/10/2020,4/10/2020,5/10/2020,6/10/2020,7/10/2020,8/10/2020,9/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,1/11/2020,2/11/2020,3/11/2020,4/11/2020,5/11/2020,6/11/2020,7/11/2020,8/11/2020,9/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,1/12/2020,2/12/2020,3/12/2020,4/12/2020,5/12/2020,6/12/2020,7/12/2020,8/12/2020,9/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020
Dance Monkey - Tones And I,6155025,6676697,7180575,7102715,6464401,6929767,7136680,7172395,7207358,7627455,7708613,6728764,7091027,7262364,7321444,7323699,7699691,7694535,6578512,6818890,6908533,6801426,7039172,7464684,7458139,6465937,6546320,6689444,6712693,6749224,7201133,7239622,6257806,6225873,6368473,6371985,6375576,6846924,7014298,6071171,6120699,6267386,6295657,6360459,6761024,6714648,5775513,5905916,5943521,5957301,5980798,6331977,6308700,5408502,5477146,5478813,5487618,5521896,5869523,5930139,5100257,5057670,5192353,5188763,5227548,5566567,5670975,4873167,4853178,4890667,4909599,4831364,5096903,5269059,4603829,4516559,4538167,4623236,4660313,4668080,4614239,4202117,4314373,4396688,4415524,4458521,4519799,4518077,3951603,4076246,4131212,4152002,4198254,4218037,4350749,4001087,4041361,4097567,4135680,4093549,4024417,4153458,3682887,3649295,3780827,3841990,3860984,3946158,3942283,3585848,3669189,3704961,3723151,3756444,3684537,3718484,3272295,3266671,3244439,3272774,3358263,3433669,3442913,3088480,3125948,3171229,3187296,3199957,3372768,3430875,2879833,0,0,0,0,3146434,3248698,2866488,0,0,0,3116625,0,3127644,2759293,2837728,2857701,2899513,2933743,0,3189663,2786205,0,0,0,2769987,2956877,3070118,2658542,2702785,2749866,2783296,2815499,2997337,3049452,2608620,0,0,0,0,2910663,2978042,2587157,0,0,0,0,2928129,2916858,2543786,0,0,2692372,0,0,2973031,2565027,0,0,0,2683301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROXANNE - Arizona Zervas,4133489,4541352,4823003,4695955,4336041,4652588,4730802,4734690,4815260,4995703,4983244,4487897,4640335,4749889,4768917,4754708,4886723,4795720,4260342,4422864,4373861,4293904,4405344,4592032,4534346,4032236,4073066,4159785,4186571,4200209,4366461,4353860,3905039,3816442,3895731,3883136,3877971,4128428,4238369,3833679,3829839,3856015,3873144,3922960,4107549,4053589,3606845,3696326,3679493,3714629,0,0,3798833,3405442,3462790,3511772,3500692,3551718,3737662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3039078,3040110,3074733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tusa - KAROL G, Nicki Minaj",4017964,3838673,4137767,4194438,3871744,3983716,4179718,4309836,4357814,4575571,4664928,4124870,4429476,5083211,5266285,5554308,6096387,6437662,5713803,5672173,5664312,5448662,5593664,5858721,5931826,5190247,4893902,4961139,4893361,4919867,5375157,5491796,4817829,4533891,4545229,4518022,4515828,4927097,5155039,4470193,4242505,4319057,4296452,4330186,4729359,4749359,4099969,3884146,3965183,4002459,4067362,4395076,4590302,3978536,3910220,3884664,3850170,3880020,4174402,4297439,3748345,3560659,3632790,3639270,3667008,4013558,4179403,3559426,3397090,3394751,3394819,3357450,3551500,3672000,3279498,3125321,3077507,3115207,3126374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circles - Post Malone,3283180,3690767,3833622,3646992,3331161,3704077,3831126,3843427,3824857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memories - Maroon 5,3127585,3741310,3902974,3786736,3486102,3781128,3884446,3895828,3867335,0,3816068,3433354,3624324,3700498,3722889,3685639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falling - Trevor Daniel,2993746,3641494,3931321,3782914,3528364,3860774,3944549,4051815,4135457,4222325,4080717,3729565,3925892,3984173,3994002,4020978,0,3955267,3575798,3918336,3966796,3952679,4116062,4218690,4062796,3686294,0,0,4038253,4080132,4210236,4155233,3794766,3958922,4070813,4091771,4069408,4236998,4272227,3971492,4096609,4111122,4117455,4174185,4412756,4229767,3748995,3898543,3878033,3871618,3821073,3935077,3826359,3456827,3627090,3673163,3674019,3723995,3874713,0,3418555,0,0,0,0,0,0,3250817,3338474,0,0,3280699,3372118,3381840,3090869,3216958,3223473,3252946,3253719,0,0,0,3038202,3062706,3071310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Start Now - Dua Lipa,2992597,3597058,3872238,3746590,3363665,3822519,3994967,4076675,4131758,4344501,4147421,3576524,4049993,4195792,4242818,4242249,4326548,4073711,3458538,3894258,4032148,3995799,4122667,4302405,4131621,3568701,3937699,4112750,4163506,4284496,4756399,4609371,3997595,4273290,4466986,4513928,4574998,4867380,5007917,4556301,4788655,4885774,4888722,4914278,5130271,4852415,4192267,4508406,4620166,4633763,4601096,4852509,4727094,4109022,4536683,4667393,4642075,4672099,5117939,5036041,4339547,4558374,4707494,4685644,4641866,4915903,4854544,4238467,4424196,4499938,4500630,4393244,4590283,4595405,3985299,4092466,4172888,4232634,4257312,4260142,4140963,3800325,4006964,4146891,4181964,4361493,6100930,5693807,4931534,5180144,5181871,5182239,5147187,5153976,5062135,4567351,4721352,4742362,4760344,4705915,4616064,4760792,4223459,4318149,4468957,4479215,4468008,4462056,4345921,3931110,4161161,4180609,4204322,4386892,4197556,4143875,3635706,3781444,3766292,3795892,3809618,3865484,3864721,3473851,3609789,3639847,3619519,3540204,3704866,3682182,3109637,3272896,3346473,3361269,3376206,3483227,3496471,3081776,3198817,3264352,3394419,3425958,3402550,3327895,2936793,3116534,3164282,3204793,3219142,3280408,3255686,2835969,2929360,2924596,2969544,2990078,3099112,3094366,2694125,2876834,2907831,2925055,2962567,3120801,3095303,2678767,2801803,2880915,2859127,2859984,2971941,2955197,2535221,2638785,2737406,2742959,2763955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RITMO (Bad Boys For Life) - Black Eyed Peas, J Balvin",2980775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Señorita - Shawn Mendes, Camila Cabello",2873805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blinding Lights - The Weeknd,2830968,3580384,3956263,3850698,3499058,4099620,4268286,4360662,4345648,4665988,4396846,3859774,4475259,4566813,4576692,4563046,4801677,4515347,3871285,4539453,4762633,4890260,5166891,5557013,5238411,4557057,5197617,5338987,5357959,5379156,5796862,5582605,4910021,5377625,5550778,5571129,5581341,6044436,5964731,5299507,5770212,5873698,5908212,5965487,6394628,6002927,5154462,5612409,5701747,5983876,6127151,6586353,6262836,5396530,6025947,6138762,6064776,6099009,6627267,6390292,5465968,5870441,5992553,5960151,5993791,6329218,6102090,5189655,5630231,5660315,5688115,5527891,5819620,5822968,5069261,5192186,5265261,5409829,5499912,8453567,7766254,6896850,7053086,7086962,7001404,6947596,7107921,6846509,5964791,6447338,6481487,6464423,6453417,6495088,6590354,6102655,6373470,6502411,6498150,6294146,6356173,6480759,5679056,5734600,6022439,6094117,6081433,6238857,6174106,5585890,5893659,5899352,5923065,5840434,5972885,5997018,5277418,5438520,5392407,5431840,5601959,5638184,5734128,5125498,5308691,5319771,5335243,5365001,5744170,5797170,4823000,4975531,5100841,5141913,5188636,5534594,5577633,4887079,5064316,5157310,5444886,5479005,5477545,5406907,4816266,5072859,5111231,5162982,5215872,5483039,5527208,4802293,4823098,4797739,4852083,4819758,5078313,5110232,4407587,4624380,4668269,4690135,4731017,5200850,5252924,4516393,4670785,4750173,4735007,4828645,5123147,5037893,4337925,4476461,4614819,4657129,4729374,5007858,4867157,4198759,4401278,4500705,4632923,4663575,4937220,4927006,4251642,4436292,4463073,4505313,4544885,4639510,4716326,4115479,4258239,4270477,4357126,4370035,4659546,4675831,4047127,4223182,4262138,4285381,4332569,0,4396701,3761840,3976879,4055253,4096908,4158200,4388060,4346043,3792979,3957018,3992791,4047132,4114607,4374992,4401454,3807015,3907134,3971496,3997900,4002125,4269292,4160350,3615810,3732476,3761558,3764416,3845247,4024488,4011049,3446646,3620340,3651404,3687132,3714147,3941865,3883530,3412388,3740059,3827733,3849819,3880319,4127373,0,3513683,3580780,3599411,3612208,3643655,3870836,3919755,3344161,3430442,3496509,3480431,3536143,3760312,3743079,3179625,3267720,3387090,3433982,3470128,3649145,3614994,3055404,3140924,3281866,3322639,3410272,0,3524583,2996518,3106802,3148111,3187462,3238742,3517682,3519540,3019407,3058060,3130253,3220460,3282224,3445195,3410654,2951460,3030129,3017302,3082609,3164832,3380325,3544628,3038387,3077153,3138529,3123134,3182012,0,3833640,3027286,0,0,0,0,3087810,3162633,2725143,2733467,2800615,2823604,2903514,3092814,3098909,2679655,2677432,2713271,2764451,2805531,0,0,0,0,0,0,0,0,0,0,0,0,4362106,4473324,4287896,4041630,0,0,3306221,0,3348234,0,0,0,2978129,3065566,3089744,3126372,0,0,0,0,0,0,0,0,2668880,2767837,3098864,3224145,3399232,5446743
